student,neighbourhood,schooldist,hoodname,age,sex,smoking_at_home,smoking_parents,smoking_siblings,alcohol,cannabis,tobacco,money,romantic,wave,friend_1,friend_2,friend_3,friend_4,friend_5,friend_6,bestfriend,bfperiod,bfwave
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s007,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s007,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s007,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s007,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s007,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s007,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s011,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s011,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s011,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s011,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s011,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s011,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s026,from,t1
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s026,from,t1
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s026,from,t1
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s026,to,t2
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s026,to,t2
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s026,to,t2
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s039,from,t2
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s039,from,t2
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s039,from,t2
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s039,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s039,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s039,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s089,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s089,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s089,from,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,8.5,yes,t1,s026,s004,s007,s012,s015,s039,s089,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,10.5,no,t2,s026,s039,s004,s012,s118,s127,s089,to,t3
s008,1,0.9,Neighbourhood A,13.4,boy,no,no,no,2 once or twice a year,1 none,1 none,11,no,t3,s007,s011,s039,s089,s012,s043,s089,to,t3
s009,2,2.26,Neighbourhood B,13.1,girl,yes,yes,no,4 once a week,1 none,1 none,2.5,no,t1,s019,s013,s104,s115,NA,NA,s019,from,t1
s009,2,2.26,Neighbourhood B,13.1,girl,yes,yes,no,NA,NA,NA,-1,NA,t2,NA,NA,NA,NA,NA,NA,s019,from,t1
s009,2,2.26,Neighbourhood B,13.1,girl,yes,yes,no,NA,NA,NA,-1,NA,t3,NA,NA,NA,NA,NA,NA,s019,from,t1
s009,2,2.26,Neighbourhood B,13.1,girl,yes,yes,no,4 once a week,1 none,1 none,2.5,no,t1,s019,s013,s104,s115,NA,NA,s019,to,t1
s009,2,2.26,Neighbourhood B,13.1,girl,yes,yes,no,NA,NA,NA,-1,NA,t2,NA,NA,NA,NA,NA,NA,s019,to,t1
s009,2,2.26,Neighbourhood B,13.1,girl,yes,yes,no,NA,NA,NA,-1,NA,t3,NA,NA,NA,NA,NA,NA,s019,to,t1
s012,2,2.26,Neighbourhood B,13,girl,no,no,no,3 once a month,1 none,1 none,6,no,t1,s004,s015,s017,s025,s039,s089,s043,from,t3
s012,2,2.26,Neighbourhood B,13,girl,no,no,no,3 once a month,2 tried once,1 none,7,yes,t2,s008,s011,s015,s043,NA,NA,s043,from,t3
s012,2,2.26,Neighbourhood B,13,girl,no,no,no,4 once a week,3 occasional,1 none,20,no,t3,s043,s004,s089,NA,NA,NA,s043,from,t3
s012,2,2.26,Neighbourhood B,13,girl,no,no,no,3 once a month,1 none,1 none,6,no,t1,s004,s015,s017,s025,s039,s089,s043,to,t3
s012,2,2.26,Neighbourhood B,13,girl,no,no,no,3 once a month,2 tried once,1 none,7,yes,t2,s008,s011,s015,s043,NA,NA,s043,to,t3
s012,2,2.26,Neighbourhood B,13,girl,no,no,no,4 once a week,3 occasional,1 none,20,no,t3,s043,s004,s089,NA,NA,NA,s043,to,t3
s014,2,2.26,Neighbourhood B,13.5,boy,yes,yes,no,2 once or twice a year,1 none,1 none,10,no,t1,s002,s022,s024,s117,s148,NA,s148,from,t2
s014,2,2.26,Neighbourhood B,13.5,boy,yes,yes,no,3 once a month,2 tried once,1 none,10,no,t2,s148,s074,s117,s120,NA,NA,s148,from,t2
s014,2,2.26,Neighbourhood B,13.5,boy,yes,yes,no,2 once or twice a year,1 none,1 none,30,no,t3,s022,s038,s085,s148,NA,NA,s148,from,t2
s014,2,2.26,Neighbourhood B,13.5,boy,yes,yes,no,2 once or twice a year,1 none,1 none,10,no,t1,s002,s022,s024,s117,s148,NA,s148,to,t2
s014,2,2.26,Neighbourhood B,13.5,boy,yes,yes,no,3 once a month,2 tried once,1 none,10,no,t2,s148,s074,s117,s120,NA,NA,s148,to,t2
s014,2,2.26,Neighbourhood B,13.5,boy,yes,yes,no,2 once or twice a year,1 none,1 none,30,no,t3,s022,s038,s085,s148,NA,NA,s148,to,t2
s017,2,2.26,Neighbourhood B,13.7,girl,yes,yes,yes,3 once a month,1 none,1 none,1.5,no,t1,s004,s007,s008,s015,s025,s026,s156,from,t2
s017,2,2.26,Neighbourhood B,13.7,girl,yes,yes,yes,2 once or twice a year,1 none,1 none,-1,yes,t2,s156,s007,NA,NA,NA,NA,s156,from,t2
s017,2,2.26,Neighbourhood B,13.7,girl,yes,yes,yes,NA,NA,NA,-1,NA,t3,NA,NA,NA,NA,NA,NA,s156,from,t2
s017,2,2.26,Neighbourhood B,13.7,girl,yes,yes,yes,3 once a month,1 none,1 none,1.5,no,t1,s004,s007,s008,s015,s025,s026,s156,to,t2
s017,2,2.26,Neighbourhood B,13.7,girl,yes,yes,yes,2 once or twice a year,1 none,1 none,-1,yes,t2,s156,s007,NA,NA,NA,NA,s156,to,t2
s017,2,2.26,Neighbourhood B,13.7,girl,yes,yes,yes,NA,NA,NA,-1,NA,t3,NA,NA,NA,NA,NA,NA,s156,to,t2
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,1,no,t1,s022,s138,s095,NA,NA,NA,s022,from,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,NA,1 none,1 none,10,no,t2,s138,s021,s022,NA,NA,NA,s022,from,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,7,no,t3,s091,s108,s138,s022,s100,NA,s022,from,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,1,no,t1,s022,s138,s095,NA,NA,NA,s022,to,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,NA,1 none,1 none,10,no,t2,s138,s021,s022,NA,NA,NA,s022,to,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,7,no,t3,s091,s108,s138,s022,s100,NA,s022,to,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,1,no,t1,s022,s138,s095,NA,NA,NA,s091,from,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,NA,1 none,1 none,10,no,t2,s138,s021,s022,NA,NA,NA,s091,from,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,7,no,t3,s091,s108,s138,s022,s100,NA,s091,from,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,1,no,t1,s022,s138,s095,NA,NA,NA,s091,to,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,NA,1 none,1 none,10,no,t2,s138,s021,s022,NA,NA,NA,s091,to,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,7,no,t3,s091,s108,s138,s022,s100,NA,s091,to,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,1,no,t1,s022,s138,s095,NA,NA,NA,s108,from,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,NA,1 none,1 none,10,no,t2,s138,s021,s022,NA,NA,NA,s108,from,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,7,no,t3,s091,s108,s138,s022,s100,NA,s108,from,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,1,no,t1,s022,s138,s095,NA,NA,NA,s108,to,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,NA,1 none,1 none,10,no,t2,s138,s021,s022,NA,NA,NA,s108,to,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,7,no,t3,s091,s108,s138,s022,s100,NA,s108,to,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,1,no,t1,s022,s138,s095,NA,NA,NA,s138,from,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,NA,1 none,1 none,10,no,t2,s138,s021,s022,NA,NA,NA,s138,from,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,7,no,t3,s091,s108,s138,s022,s100,NA,s138,from,t1
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,1,no,t1,s022,s138,s095,NA,NA,NA,s138,to,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,NA,1 none,1 none,10,no,t2,s138,s021,s022,NA,NA,NA,s138,to,t3
s018,2,2.26,Neighbourhood B,13.6,boy,yes,yes,yes,2 once or twice a year,1 none,1 none,7,no,t3,s091,s108,s138,s022,s100,NA,s138,to,t3
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,4 once a week,3 occasional,3 regular,1,no,t1,s009,s013,s115,NA,NA,NA,s009,from,t1
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,5 more than once a week,2 tried once,3 regular,10,no,t2,s013,s115,NA,NA,NA,NA,s009,from,t1
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,4 once a week,3 occasional,3 regular,20,no,t3,s070,NA,NA,NA,NA,NA,s009,from,t1
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,4 once a week,3 occasional,3 regular,1,no,t1,s009,s013,s115,NA,NA,NA,s009,to,t1
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,5 more than once a week,2 tried once,3 regular,10,no,t2,s013,s115,NA,NA,NA,NA,s009,to,t1
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,4 once a week,3 occasional,3 regular,20,no,t3,s070,NA,NA,NA,NA,NA,s009,to,t1
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,4 once a week,3 occasional,3 regular,1,no,t1,s009,s013,s115,NA,NA,NA,s070,from,t3
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,5 more than once a week,2 tried once,3 regular,10,no,t2,s013,s115,NA,NA,NA,NA,s070,from,t3
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,4 once a week,3 occasional,3 regular,20,no,t3,s070,NA,NA,NA,NA,NA,s070,from,t3
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,4 once a week,3 occasional,3 regular,1,no,t1,s009,s013,s115,NA,NA,NA,s070,to,t3
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,5 more than once a week,2 tried once,3 regular,10,no,t2,s013,s115,NA,NA,NA,NA,s070,to,t3
s019,3,3.69,Neighbourhood C,13.1,girl,yes,no,yes,4 once a week,3 occasional,3 regular,20,no,t3,s070,NA,NA,NA,NA,NA,s070,to,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,NA,1 none,1 none,12.5,no,t1,s018,s032,s151,NA,NA,NA,s018,from,t1
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,15,no,t2,s151,s002,NA,NA,NA,NA,s018,from,t1
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,20,no,t3,s036,s151,s002,s014,s037,s120,s018,from,t1
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,NA,1 none,1 none,12.5,no,t1,s018,s032,s151,NA,NA,NA,s018,to,t1
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,15,no,t2,s151,s002,NA,NA,NA,NA,s018,to,t1
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,20,no,t3,s036,s151,s002,s014,s037,s120,s018,to,t1
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,NA,1 none,1 none,12.5,no,t1,s018,s032,s151,NA,NA,NA,s036,from,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,15,no,t2,s151,s002,NA,NA,NA,NA,s036,from,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,20,no,t3,s036,s151,s002,s014,s037,s120,s036,from,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,NA,1 none,1 none,12.5,no,t1,s018,s032,s151,NA,NA,NA,s036,to,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,15,no,t2,s151,s002,NA,NA,NA,NA,s036,to,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,20,no,t3,s036,s151,s002,s014,s037,s120,s036,to,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,NA,1 none,1 none,12.5,no,t1,s018,s032,s151,NA,NA,NA,s151,from,t2
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,15,no,t2,s151,s002,NA,NA,NA,NA,s151,from,t2
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,20,no,t3,s036,s151,s002,s014,s037,s120,s151,from,t2
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,NA,1 none,1 none,12.5,no,t1,s018,s032,s151,NA,NA,NA,s151,to,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,15,no,t2,s151,s002,NA,NA,NA,NA,s151,to,t3
s022,1,0.9,Neighbourhood A,13.1,boy,no,no,no,2 once or twice a year,1 none,1 none,20,no,t3,s036,s151,s002,s014,s037,s120,s151,to,t3
s023,4,NA,NA,13.1,boy,yes,yes,no,NA,1 none,1 none,5,no,t1,s026,NA,NA,NA,NA,NA,s026,from,t3
s023,4,NA,NA,13.1,boy,yes,yes,no,NA,1 none,1 none,2,no,t2,s007,s020,s021,s026,NA,NA,s026,from,t3
s023,4,NA,NA,13.1,boy,yes,yes,no,NA,1 none,1 none,5,no,t3,s026,NA,NA,NA,NA,NA,s026,from,t3
s023,4,NA,NA,13.1,boy,yes,yes,no,NA,1 none,1 none,5,no,t1,s026,NA,NA,NA,NA,NA,s026,to,t3
s023,4,NA,NA,13.1,boy,yes,yes,no,NA,1 none,1 none,2,no,t2,s007,s020,s021,s026,NA,NA,s026,to,t3
s023,4,NA,NA,13.1,boy,yes,yes,no,NA,1 none,1 none,5,no,t3,s026,NA,NA,NA,NA,NA,s026,to,t3
s025,2,2.26,Neighbourhood B,13.4,girl,yes,yes,no,3 once a month,1 none,1 none,20,no,t1,s012,s004,s007,s015,s017,s019,s012,from,t1
s025,2,2.26,Neighbourhood B,13.4,girl,yes,yes,no,NA,NA,NA,-1,NA,t2,NA,NA,NA,NA,NA,NA,s012,from,t1
s025,2,2.26,Neighbourhood B,13.4,girl,yes,yes,no,NA,NA,NA,-1,NA,t3,NA,NA,NA,NA,NA,NA,s012,from,t1
s025,2,2.26,Neighbourhood B,13.4,girl,yes,yes,no,3 once a month,1 none,1 none,20,no,t1,s012,s004,s007,s015,s017,s019,s012,to,t1
s025,2,2.26,Neighbourhood B,13.4,girl,yes,yes,no,NA,NA,NA,-1,NA,t2,NA,NA,NA,NA,NA,NA,s012,to,t1
s025,2,2.26,Neighbourhood B,13.4,girl,yes,yes,no,NA,NA,NA,-1,NA,t3,NA,NA,NA,NA,NA,NA,s012,to,t1
s026,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,2 once or twice a year,1 none,1 none,7,yes,t1,s007,s008,s015,s017,s023,NA,s007,from,t1
